model,seed,accuracy,precision_macro,recall_macro,f1_macro,auroc,inference_time_ms_per_image,f1_NORMAL,f1_BACTERIA,f1_VIRUS
resnet18,0.0,0.8509615384615384,0.8458262057259551,0.8519081700899883,0.8416309079980242,0.9615277153307686,18.969018429486777,0.8557919621749409,0.9117043121149897,0.757396449704142
resnet18,1.0,0.6746794871794872,0.7736873390132751,0.6986652895743806,0.6458636081754943,0.9246197254186072,14.86664214743518,0.4605263157894737,0.8993839835728953,0.5776805251641138
resnet18,2.0,0.782051282051282,0.7963832190558402,0.7802506893415985,0.7660641149260826,0.9449994627724402,13.442788782051652,0.7446808510638298,0.8771266540642723,0.6763848396501457
densenet121,0.0,0.8317307692307693,0.8350815850815851,0.8327819236910146,0.8202757977194067,0.9571273655079183,14.91084006409857,0.8170426065162907,0.9090909090909091,0.7346938775510204
densenet121,1.0,0.7884615384615384,0.8009844627235932,0.7860899679081497,0.773490019563318,0.9375329139945556,15.823081570511606,0.7696335078534031,0.8841698841698842,0.6666666666666666
densenet121,2.0,0.7756410256410257,0.7889031176685188,0.768711336893155,0.7572166409509751,0.9365033700816401,14.483299519229265,0.753315649867374,0.8809073724007561,0.6374269005847953
densenet121_hierarchical,0.0,0.7996794871794872,0.8139016246520833,0.8041506223324405,0.785480803464298,0.9457858949383221,16.998926602564797,0.7446808510638298,0.8978805394990366,0.7138810198300283
densenet121_hierarchical,1.0,0.8012820512820513,0.8138396165019705,0.8023112114021206,0.7867177223324832,0.9449932469075656,16.440989903848717,0.7664041994750657,0.9044834307992202,0.6892655367231638
densenet121_hierarchical,2.0,0.7676282051282052,0.7968875411846849,0.7748799339708431,0.7497756994130347,0.9417082099501068,15.516513782055577,0.6834733893557423,0.9027237354085603,0.6631299734748011
ensemble_resnet18_densenet121,,0.8221153846153846,0.830478042626114,0.8239523694069147,0.8080037327677331,0.9595922118605151,,0.7823834196891192,0.923679060665362,0.717948717948718
